id,rarity_id,ingredient_type_id,characters_id,name,price,isunique,description,bought,used,up_feature_id,effect,support,support_2,support_3,special,Evol_salary,Evol_maintenance,Evol_staff,personalization
1,5,1,NULL,Armure élémentaire,150,0,"Flux : Élémentaire (au choix)
Coût en énergie : Moyen
Utilisation : Passive 
Effet : Produit un effet élémentaire, à définir à l’achat, lorsque le support reçoit un coup. N’immunise pas le porteur à l’élément choisi. Exemple : produit une bourrasque de vent.",0,0,NULL,Défensif,Armures,Vêtements,,0,0,NULL,NULL,1
2,5,1,NULL,Armure végétale,100,0,"Flux : Nature
Coût en énergie : Moyen
Utilisation : Active
Effet : Augmente la furtivité (+5 au jet de dés) en environnement végétal (forêt, plaine, marais) par la poussée de mousses et plantes sur le support. La végétation créée correspond à l’environnement. Elle dure jusqu’à la désactivation du glyphe par l’utilisateur.",0,0,139,Défensif,Armures,Vêtements,,0,0,NULL,NULL,0
3,5,1,NULL,Gemmes vivantes,400,0,"Flux : Nature
Coût en énergie : Faible
Utilisation : Passive
Effet : Couvre le support de gemmes perméables à la magie. Elles absorbent une partie de l’énergie dirigée contre le porteur du support (+1 rang en Résistance magique). Cette augmentation peut se cumuler 1 fois avec le glyphe “Perfectionnement”. Le type de gemmes est à définir à l’achat.",0,0,12,Défensif,Armures,Vêtements,,0,0,NULL,NULL,1
4,5,1,NULL,Protection aux températures,50,0,"Flux : Nature
Coût en énergie : Moyen
Utilisation : Passive
Effet : Produit une immunité aux conditions climatiques pour le porteur lorsque l’objet est porté.",0,0,NULL,Défensif,Armures,Vêtements,,0,0,NULL,NULL,0
5,5,1,NULL,Protection élémentaire,400,0,"Flux : Élémentaire (au choix)
Coût en énergie : Moyen
Utilisation : Passive ou Active
Effet : Produit une résistance à un élément, défini à l’achat (réduction des dégâts de cet élément de moitié).",0,0,NULL,Défensif,Armures,Vêtements,,1,0,NULL,NULL,1
6,5,1,NULL,Révélation ,200,0,"Flux : Élémentaire (feu)
Coût en énergie : Supérieur
Utilisation : Active
Effet : Produit une puissante décharge lumineuse qui bloque l’utilisation de tous les sorts/glyphes/pouvoirs d’Esprits-Liés en lien avec la dissimulation et la furtivité. Dure 3 tours.
Jet de sauvegarde : Résistance",0,0,NULL,Défensif,Tout objet,,,0,0,NULL,NULL,0
7,5,1,NULL,Arme élémentaire,200,0,"Précision support : Toute arme (sauf arme de trait et projectiles)
Flux : Élémentaire (au choix)
Coût en énergie : Supérieur
Utilisation : Passive ou Active
Effet : Ajoute des dégâts et effets élémentaires sur une arme. L’élément est défini à la création. Il n’est pas possible d’avoir plusieurs éléments sur une même arme. N’immunise pas l’utilisateur à l’élément de son arme. Si l’essence de l’élément n’est pas présent, le glyphe ne fonctionnera pas.",0,0,NULL,Offensif,Armes,,,0,0,NULL,NULL,1
8,5,1,NULL,Brise-tympan,250,0,"Flux : Élémentaire (air)
Coût en énergie : Faible
Utilisation : Active
Effet : Lorsque l’arme produit un impact, elle produit également un bruit strident, dont la puissance dépend de la force du porteur selon les paliers ci-dessous :
- Moyen : effet léger, donne des bourdonnements dans les oreilles durant une heure.
- Bon, Très bon et Maître : probabilité de causer des lésions auditives temporaires.
- Grand-maître et Exceptionnel : peut causer des lésions auditives graves.",0,0,NULL,Offensif,Armes,,,0,0,NULL,NULL,0
9,5,1,NULL,Désarmement ,50,0,"Précision support : Arme de jet
Flux : Élémentaire (air)
Coût en énergie : Faible
Utilisation : Passive
Effet : Lorsque cette arme touche sa cible, le choc de la collision est amplifié si bien qu’il fait lâcher son arme à sa cible.
Jet de sauvegarde : Coordination",0,0,NULL,Offensif,Armes,,,0,0,NULL,NULL,0
10,5,1,NULL,Narcose ,100,0,"Flux : Naturel
Coût en énergie : Faible
Utilisation : Passive
Effet : Les projectiles ne produisent plus de dégâts physiques mais provoquent un sommeil immédiat de la cible.",0,0,NULL,Offensif,Projectiles,,,0,0,NULL,NULL,0
11,5,1,NULL,Nuée d’insectes,100,0,"Flux : Nature
Coût en énergie : Moyen
Utilisation : Active
Effet : Création d’une nuée d’insectes qui attaquent une cible unique (1 blessure légère par tour) et réduisent ses capacités (-5 au jet de dés en arme ou magie). Le type d’insectes est à définir à l’achat.
Jet de sauvegarde : Coordination",0,0,NULL,Offensif,Tout objet,,,1,0,NULL,NULL,1
12,5,1,NULL,Projectile élémentaire ,200,0,"Flux : Élémentaire (au choix)
Coût en énergie : Supérieur
Utilisation : Passive ou Active
Effet : Ajoute des dégâts et effets élémentaires sur un projectile. L’élément est défini à la création. Il n’est pas possible d’avoir plusieurs éléments sur une même arme. N’immunise pas l’utilisateur à l’élément de son arme. Si l’essence de l’élément n’est pas présent, le glyphe ne fonctionnera pas.",0,0,NULL,Offensif,Projectiles,,,0,0,NULL,NULL,0
13,5,1,NULL,Rayon lunaire,200,0,"Précision support : Arme de trait
Flux : Élémentaire (feu)
Coût en énergie : Moyen
Utilisation : Passive
Effet : Concentre la lumière à partir d’une source existant de nuit (lune, étoiles, spirite lampyre, etc) et la modèle comme un carreau. Ce projectile provoque des brûlures à la victime touchée en plus de la blessure initiale.",0,0,NULL,Offensif,Armes,,,0,0,NULL,NULL,0
14,5,1,NULL,Rayon solaire ,200,0,"Précision support : Arme de trait
Flux : Élémentaire (feu)
Coût en énergie : Moyen
Utilisation : Passive
Effet : Concentre la lumière à partir d’une source préexistante (soleil, feu, glyphe de lumière, spirite lampyre, etc) et la modèle comme un carreau. Ce projectile provoque des brûlures à la victime touchée en plus de la blessure initiale.",0,0,NULL,Offensif,Armes,,,0,0,NULL,NULL,0
15,5,1,NULL,Sang acide,250,0,"Flux : Élémentaire (eau) + Nature
Coût en énergie : Moyen
Utilisation : Passive
Effet : Le sang du porteur devient acide. Il brûle tout ce qui entre en contact avec lui et qui n’est pas le porteur même.
Jet de sauvegarde : Alliages inaltérables / Réduction des dégâts de nature",0,0,NULL,Offensif,Tout objet,,,0,0,NULL,NULL,0
